name,rank,type,founded,religon,schedule,location_type,phone_num,alumni_sal,four_year_grad_rate,sport_assoc,usnews_score,six_year_grad_rate,six_year_with_pell,six_year_without_pell,percent_class_less_twenty,percent_class_more_fifty,student_to_fac,app_deadline,app_fee,acceptance_rate,sat_1400-1600,sat_1200-1399,sat_1000-1199,sat_800-999,sat_600-799,sat_400-599,total_enroll,undergrad_enroll,grad_enroll,tuition,room_and_board,fed_debt,fed_debt_not_grad
Northwestern University,9,Private,1851.0,None,Quarter,Suburban,(847) 491-3741,61100.0,85.0,NCAA I,93.0,95.0,93.0,95.0,77.7,6.0,6:1,Jan. 3,75.0,9.0,82.22,16.88,0.9,0.0,0.0,0.0,22072.0,8194.0,13878.0,15500.0,8667.0,60984.0,18213.0
Dartmouth College,13,Private,1769.0,None,Quarter,Rural,(603) 646-1110,66100.0,87.0,NCAA I,91.0,95.0,91.0,95.0,63.4,6.0,7:1,Jan. 2,80.0,9.0,83.0,15.0,2.0,0.0,0.0,0.0,6292.0,4170.0,2122.0,15000.0,5747.0,60870.0,17586.0
Brown University,14,Private,1764.0,None,Semester,City,(401) 863-1000,63400.0,84.0,NCAA I,88.0,95.0,92.0,96.0,69.8,11.0,6:1,Jan. 5,75.0,8.0,85.61,13.25,1.14,0.0,0.0,0.0,9948.0,6792.0,3156.0,15000.0,7500.0,62404.0,16346.0
Vanderbilt University,14,Private,1873.0,None,Semester,Urban,(615) 322-7311,63600.0,88.0,NCAA I,88.0,93.0,90.0,93.0,56.7,13.0,8:1,Jan. 1,50.0,12.0,90.0,9.0,1.0,0.0,0.0,0.0,13537.0,7057.0,6480.0,14962.0,6500.0,56966.0,18376.0
Washington University in St. Louis,14,Private,1853.0,None,Semester,City,(314) 935-5000,63300.0,88.0,NCAA III,88.0,95.0,92.0,95.0,66.5,8.0,7:1,Jan. 3,75.0,16.0,94.0,6.0,0.0,0.0,0.0,0.0,15449.0,7653.0,7796.0,16500.0,9301.0,58866.0,17900.0
Cornell University,17,Private,1865.0,None,Semester,Rural,(607) 255-2000,67900.0,89.0,NCAA I,87.0,95.0,94.0,96.0,62.5,14.0,9:1,Jan. 2,80.0,11.0,78.91,19.23,1.86,0.0,0.0,0.0,23620.0,14743.0,8877.0,14661.0,6750.0,61015.0,16446.0
Rice University,17,Private,1912.0,None,Semester,Urban,(713) 348-0000,67500.0,85.0,NCAA I,87.0,93.0,90.0,95.0,69.4,7.0,6:1,Jan. 1,75.0,11.0,88.9,8.2,2.9,0.0,0.0,0.0,7643.0,4076.0,3567.0,11989.0,6655.0,52895.0,14800.0
University of Notre Dame,19,Private,1842.0,Roman Catholic,Semester,Suburban,(574) 631-5000,65000.0,93.0,NCAA I,85.0,96.0,94.0,97.0,58.8,11.0,8:1,Jan. 1,75.0,19.0,N/A,N/A,N/A,N/A,N/A,N/A,12809.0,8874.0,3935.0,19000.0,7250.0,58843.0,16304.0
University of California--Los Angeles,20,Public,1919.0,None,Quarter,Urban,(310) 825-4321,58500.0,81.0,NCAA I,84.0,91.0,88.0,93.0,48.0,23.0,18:1,Nov. 30,70.0,14.0,58.2,29.0,12.2,0.6,0.0,0.0,46000.0,31636.0,14364.0,15000.0,11000.0,13268.0,43022.0
Emory University,21,Private,1836.0,United Methodist,Semester,City,(404) 727-6123,60200.0,82.0,NCAA III,83.0,90.0,87.0,91.0,56.6,13.0,9:1,Jan. 1,75.0,19.0,75.8,23.1,1.1,0.0,0.0,0.0,14002.0,7010.0,6992.0,16500.0,7436.0,55468.0,16302.0
University of California--Berkeley,22,Public,1868.0,None,Semester,City,(510) 642-6000,66800.0,76.0,NCAA I,82.0,92.0,89.0,94.0,54.7,21.0,19:1,Nov. 30,70.0,18.0,59.63,26.9,12.03,1.43,0.02,0.0,42597.0,30980.0,11617.0,13478.0,9000.0,14361.0,44115.0
Georgetown University,23,Private,1789.0,Roman Catholic,Semester,Urban,(202) 687-0100,59500.0,90.0,NCAA I,81.0,95.0,93.0,94.0,60.4,6.0,11:1,Jan. 10,75.0,17.0,72.0,23.0,4.0,0.0,0.0,0.0,19371.0,7357.0,12014.0,16421.0,7000.0,59957.0,18748.0
University of Michigan--Ann Arbor,23,Public,1817.0,None,Trimester,City,(734) 764-1817,64700.0,81.0,NCAA I,81.0,93.0,89.0,94.0,57.3,17.0,14:1,Feb. 1,75.0,26.0,67.0,27.0,6.0,0.0,0.0,0.0,47907.0,31329.0,16578.0,17500.0,9000.0,16178.0,53232.0
Carnegie Mellon University,25,Private,1900.0,None,Semester,Urban,(412) 268-2000,74600.0,80.0,NCAA III,80.0,90.0,90.0,94.0,66.6,12.0,6:1,Jan. 1,75.0,17.0,89.0,10.0,1.0,0.0,0.0,0.0,14189.0,7073.0,7116.0,23250.0,14000.0,58924.0,16150.0
University of Virginia,25,Public,1819.0,None,Semester,Suburban,(434) 924-0311,62300.0,89.0,NCAA I,80.0,95.0,90.0,95.0,52.4,14.0,14:1,Jan. 1,75.0,23.0,56.9,36.5,6.1,0.5,0.0,0.0,25629.0,17311.0,8318.0,18878.0,8508.0,19698.0,53666.0
University of Southern California,27,Private,1880.0,None,Semester,Urban,(213) 740-2311,60600.0,79.0,NCAA I,79.0,92.0,91.0,92.0,63.3,12.0,9:1,Jan. 15,85.0,16.0,67.31,26.38,5.64,0.67,0.0,0.0,46107.0,19606.0,26501.0,19459.0,12000.0,60275.0,15437.0
New York University,28,Private,1831.0,None,Semester,Urban,(212) 998-1212,59500.0,79.0,NCAA III,78.0,86.0,86.0,88.0,63.4,9.0,8:1,Jan. 5,80.0,21.0,N/A,N/A,N/A,N/A,N/A,N/A,52775.0,27444.0,25331.0,20500.0,12000.0,56500.0,19682.0
Tufts University,28,Private,1852.0,None,Semester,Suburban,(617) 628-5000,62000.0,89.0,NCAA III,78.0,94.0,93.0,94.0,65.5,7.0,9:1,Jan. 1,75.0,16.0,N/A,N/A,N/A,N/A,N/A,N/A,12219.0,6114.0,6105.0,16900.0,8000.0,63000.0,16210.0
University of California--Santa Barbara,28,Public,1909.0,None,Quarter,Suburban,(805) 893-8000,55700.0,71.0,NCAA I,78.0,84.0,86.0,91.0,54.1,20.0,17:1,Nov. 30,70.0,37.0,43.8,39.03,15.66,1.49,0.02,0.0,26179.0,23196.0,2983.0,15000.0,10830.0,14442.0,44196.0
University of Florida,28,Public,1853.0,None,Semester,Suburban,(352) 392-3261,55000.0,67.0,NCAA I,78.0,89.0,86.0,90.0,53.3,9.0,17:1,March 1,30.0,31.0,44.0,50.0,6.0,0.0,0.0,0.0,53372.0,34931.0,18441.0,15867.0,9032.0,6380.0,28658.0
University of North Carolina at Chapel Hill,28,Public,1789.0,None,Semester,Suburban,(919) 966-3621,51500.0,86.0,NCAA I,78.0,91.0,89.0,92.0,46.4,12.0,15:1,Jan. 15,85.0,24.0,43.9,44.5,11.1,0.5,0.0,0.0,30098.0,19399.0,10699.0,15400.0,8000.0,8992.0,36776.0
Wake Forest University,28,Private,1834.0,None,Semester,Suburban,(336) 758-5000,56800.0,85.0,NCAA I,78.0,89.0,82.0,89.0,49.9,1.0,11:1,Jan. 1,65.0,32.0,50.8,39.75,8.2,1.25,0.0,0.0,8789.0,5441.0,3348.0,19500.0,7705.0,59770.0,18014.0
University of California--San Diego,34,Public,1960.0,None,Quarter,Urban,(858) 534-2230,60200.0,68.0,NCAA I,77.0,86.0,84.0,89.0,46.0,24.0,19:1,Nov. 30,70.0,38.0,48.0,39.0,13.0,0.0,0.0,0.0,39037.0,31842.0,7195.0,16500.0,9314.0,14733.0,44487.0
University of Rochester,34,Private,1850.0,Undenominational,Semester,Urban,(585) 275-2121,56700.0,76.0,NCAA III,77.0,86.0,84.0,86.0,78.5,8.0,9:1,Jan. 5,50.0,35.0,60.0,35.0,5.0,0.0,0.0,0.0,11741.0,6521.0,5220.0,19000.0,9000.0,59344.0,17456.0
Boston College,36,Private,1863.0,Roman Catholic,Semester,Suburban,(617) 552-3100,60400.0,89.0,NCAA I,76.0,93.0,91.0,92.0,65.0,1.0,11:1,Jan. 1,80.0,26.0,63.42,30.6,5.4,0.52,0.06,0.0,14570.0,9445.0,5125.0,17500.0,7612.0,61706.0,15602.0
University of California--Irvine,36,Public,1965.0,None,Quarter,Suburban,(949) 824-5011,56800.0,69.0,NCAA I,76.0,84.0,83.0,87.0,50.7,23.0,18:1,Nov. 30,70.0,30.0,29.63,55.18,14.91,0.28,0.0,0.0,36303.0,29638.0,6665.0,15488.0,9500.0,13955.0,43709.0
Georgia Institute of Technology,38,Public,1885.0,None,Semester,Urban,(404) 894-2000,70700.0,47.0,NCAA I,74.0,88.0,86.0,91.0,33.3,28.0,18:1,Jan. 4,75.0,21.0,71.31,25.29,2.71,0.65,0.04,0.0,39772.0,16561.0,23211.0,23000.0,13500.0,12682.0,33794.0
University of California--Davis,38,Public,1905.0,None,Quarter,City,(530) 752-1011,57900.0,N/A,NCAA I,74.0,86.0,83.0,88.0,32.4,31.0,20:1,Nov. 30,70.0,46.0,20.5,47.6,27.0,4.7,0.15,0.0,39075.0,31162.0,7913.0,13000.0,7016.0,14654.0,44408.0
University of Texas at Austin,38,Public,1883.0,None,Semester,Urban,(512) 471-3434,58800.0,70.0,NCAA I,74.0,85.0,81.0,89.0,47.5,14.0,18:1,Dec. 1,75.0,32.0,37.13,42.1,19.24,1.51,0.03,0.0,50476.0,40048.0,10428.0,19630.0,11750.0,11448.0,40032.0
William & Mary,38,Public,1693.0,None,Semester,Suburban,(757) 221-4000,54200.0,85.0,NCAA I,74.0,91.0,88.0,92.0,49.3,8.0,12:1,Jan. 1,75.0,42.0,50.3,41.8,7.6,0.3,0.0,0.0,8939.0,6236.0,2703.0,19000.0,8340.0,23812.0,46467.0
Boston University,42,Private,1839.0,None,Semester,Urban,(617) 353-2000,57200.0,84.0,NCAA I,73.0,88.0,89.0,89.0,56.3,15.0,10:1,Jan. 4,80.0,20.0,59.0,39.0,2.0,0.0,0.0,0.0,32718.0,16872.0,15846.0,25000.0,12000.0,59816.0,16840.0
Brandeis University,42,Private,1948.0,None,Semester,Suburban,(781) 736-2000,55700.0,82.0,NCAA III,73.0,89.0,90.0,89.0,55.4,10.0,10:1,Jan. 1,80.0,34.0,61.0,35.0,4.0,0.0,0.0,0.0,5440.0,3493.0,1947.0,26150.0,12000.0,60391.0,16650.0
Case Western Reserve University,42,Private,1826.0,None,Semester,Urban,(216) 368-2000,64800.0,64.0,NCAA III,73.0,84.0,83.0,86.0,62.9,13.0,11:1,Jan. 15,70.0,30.0,63.0,36.0,1.0,0.0,0.0,0.0,11468.0,5433.0,6035.0,24192.0,10591.0,54020.0,16080.0
Tulane University,42,Private,1834.0,None,Semester,Urban,(504) 865-5000,51800.0,77.0,NCAA I,73.0,85.0,78.0,87.0,57.5,8.0,8:1,Nov. 15,N/A,11.0,58.0,39.0,2.0,1.0,0.0,0.0,13090.0,7700.0,5390.0,21370.0,12000.0,60814.0,16818.0
University of Wisconsin--Madison,42,Public,1848.0,None,Semester,City,(608) 262-1234,55800.0,67.0,NCAA I,73.0,88.0,83.0,89.0,46.7,24.0,17:1,Feb. 1,60.0,57.0,43.0,49.0,8.0,0.0,0.0,0.0,45540.0,33585.0,11955.0,20500.0,12250.0,10720.0,38608.0
University of Illinois--Urbana-Champaign,47,Public,1867.0,None,Semester,City,(217) 333-1000,62200.0,72.0,NCAA I,72.0,85.0,80.0,88.0,38.3,21.0,20:1,Jan. 5,50.0,63.0,41.0,40.0,20.0,0.0,0.0,0.0,52679.0,33683.0,18996.0,19000.0,7999.0,16866.0,34316.0
University of Georgia,48,Public,1785.0,None,Semester,City,(706) 542-3000,51900.0,68.0,NCAA I,71.0,86.0,81.0,89.0,45.7,11.0,17:1,Jan. 1,70.0,48.0,26.23,58.76,14.36,0.58,0.07,0.0,39147.0,29765.0,9382.0,18750.0,12000.0,12080.0,31120.0
Lehigh University,49,Private,1865.0,None,Semester,City,(610) 758-3000,68600.0,79.0,NCAA I,70.0,88.0,88.0,88.0,46.8,8.0,9:1,Jan. 15,70.0,50.0,37.5,53.1,9.4,0.0,0.0,0.0,7067.0,5203.0,1864.0,23250.0,10465.0,57470.0,15330.0
Northeastern University,49,Private,1898.0,None,Semester,Urban,(617) 373-2000,62500.0,N/A,NCAA I,70.0,89.0,90.0,90.0,61.8,6.0,14:1,Jan. 1,75.0,20.0,84.2,13.11,2.69,0.0,0.0,0.0,22905.0,15156.0,7749.0,24855.0,13666.0,57592.0,17810.0
The Ohio State University,49,Public,1870.0,None,Semester,Urban,(614) 292-6446,55100.0,65.0,NCAA I,70.0,85.0,80.0,88.0,29.7,24.0,19:1,Feb. 1,60.0,68.0,24.0,58.0,16.0,2.0,0.0,0.0,61369.0,46984.0,14385.0,21000.0,6500.0,11936.0,35019.0
Pepperdine University,49,Private,1937.0,Churches of Christ,Semester,Suburban,(310) 506-4000,54000.0,80.0,NCAA I,70.0,86.0,89.0,88.0,65.0,3.0,13:1,Jan. 15,65.0,42.0,25.0,53.0,22.0,1.0,0.0,0.0,9554.0,3459.0,6095.0,25500.0,12269.0,59702.0,16700.0
Purdue University,49,Public,1869.0,None,Semester,City,(765) 494-4600,62400.0,60.0,NCAA I,70.0,81.0,77.0,85.0,43.5,19.0,13:1,rolling,60.0,67.0,29.0,46.0,23.0,1.0,0.0,0.0,45869.0,34920.0,10949.0,19500.0,7743.0,9992.0,28794.0
Villanova University,49,Private,1842.0,Roman Catholic,Semester,Suburban,(610) 519-4500,63800.0,89.0,NCAA I,70.0,91.0,87.0,93.0,42.9,3.0,11:1,Jan. 15,80.0,31.0,49.0,46.0,5.0,1.0,0.0,0.0,11032.0,7037.0,3995.0,26000.0,10750.0,59900.0,N/A
Florida State University,55,Public,1851.0,None,Semester,City,(850) 644-2525,48000.0,72.0,NCAA I,69.0,83.0,80.0,85.0,61.0,11.0,21:1,March 1,30.0,32.0,11.9,73.9,13.7,0.5,0.0,0.0,43569.0,32543.0,11026.0,19002.0,8750.0,6517.0,21683.0
Rensselaer Polytechnic Institute,46,Private,1824.0,None,Semester,Suburban,(518) 276-6000,71200.0,74.0,NCAA I,69.0,85.0,82.0,88.0,44.7,12.0,14:1,Jan. 15,70.0,57.0,45.68,48.82,5.42,0.08,0.0,0.0,7616.0,6283.0,1333.0,25000.0,8915.0,58526.0,16379.0
Santa Clara University,55,Private,1851.0,Roman Catholic,Differs by program,City,(408) 554-4000,65900.0,88.0,NCAA I,69.0,91.0,91.0,92.0,37.7,1.0,11:1,Jan. 7,70.0,51.0,37.0,56.0,7.0,0.0,0.0,0.0,8616.0,5608.0,3008.0,19917.0,7020.0,55860.0,16533.0
University of Miami,55,Private,1925.0,None,Semester,Suburban,(305) 284-2211,54900.0,72.0,NCAA I,69.0,83.0,78.0,84.0,53.4,8.0,12:1,Jan. 1,70.0,33.0,28.0,64.0,7.0,1.0,0.0,0.0,17809.0,11334.0,6475.0,17125.0,7753.0,54760.0,15880.0
Syracuse University,59,Private,1870.0,None,Semester,City,(315) 443-1870,55700.0,71.0,NCAA I,68.0,83.0,80.0,84.0,54.1,10.0,15:1,Jan. 1,85.0,69.0,13.0,58.0,27.0,2.0,0.0,0.0,21322.0,14479.0,6843.0,27000.0,12000.0,57591.0,16895.0
University of Maryland,59,Public,1856.0,None,Semester,Suburban,(301) 405-1000,60500.0,70.0,NCAA I,68.0,86.0,82.0,88.0,45.4,18.0,17:1,Jan. 20,75.0,49.0,45.2,42.6,10.4,1.8,0.0,0.0,40709.0,30875.0,9834.0,19500.0,10750.0,10954.0,38636.0
University of Pittsburgh,59,Public,1787.0,None,Semester,Urban,(412) 624-4141,55700.0,69.0,NCAA I,68.0,83.0,76.0,85.0,42.7,17.0,14:1,rolling,55.0,64.0,28.0,63.0,8.0,1.0,0.0,0.0,28234.0,19197.0,9037.0,25125.0,8750.0,19092.0,34124.0
University of Washington,59,Public,1861.0,None,Quarter,Urban,(206) 543-9686,59100.0,68.0,NCAA I,68.0,84.0,80.0,85.0,27.8,26.0,20:1,Nov. 15,80.0,56.0,33.5,46.26,17.1,3.02,0.12,0.0,51487.0,35582.0,15905.0,15000.0,10222.0,12076.0,39906.0
George Washington University,63,Private,1821.0,None,Semester,Urban,(202) 994-1000,55000.0,79.0,NCAA I,67.0,83.0,83.0,86.0,42.7,12.0,13:1,Jan. 1,80.0,43.0,37.6,54.6,7.5,0.3,0.0,0.0,27017.0,11762.0,15255.0,21500.0,11000.0,59870.0,15440.0
The Pennsylvania State University,63,Public,1855.0,None,Semester,City,(814) 865-4700,58900.0,70.0,NCAA I,67.0,86.0,79.0,87.0,34.2,18.0,14:1,rolling,65.0,54.0,10.98,55.09,32.15,1.75,0.03,0.0,46313.0,39809.0,6504.0,25928.0,10500.0,18898.0,36476.0
Rutgers University--New Brunswick,63,Public,1766.0,None,Semester,City,(732) 932-1766,57600.0,67.0,NCAA I,67.0,82.0,83.0,85.0,39.1,21.0,16:1,rolling,70.0,67.0,N/A,N/A,N/A,N/A,N/A,N/A,50411.0,35844.0,14567.0,21769.0,9250.0,15804.0,33005.0
University of Connecticut,63,Public,1881.0,None,Semester,Rural,(860) 486-2000,59400.0,73.0,NCAA I,67.0,84.0,76.0,85.0,53.5,15.0,16:1,Jan. 15,80.0,56.0,21.04,54.19,22.47,2.3,0.0,0.0,27215.0,18917.0,8298.0,22000.0,8750.0,18524.0,41192.0
Worcester Polytechnic Institute,63,Private,1865.0,None,Semester,City,(508) 831-5000,71400.0,81.0,NCAA III,67.0,89.0,85.0,90.0,64.4,9.0,13:1,Feb. 15,N/A,59.0,N/A,N/A,N/A,N/A,N/A,N/A,6920.0,4892.0,2028.0,27000.0,12000.0,55531.0,16140.0
Fordham University,68,Private,1841.0,Roman Catholic,Semester,Urban,(718) 817-1000,54900.0,79.0,NCAA I,66.0,82.0,81.0,84.0,51.4,1.0,13:1,Jan. 1,70.0,53.0,28.37,57.41,13.95,0.27,0.0,0.0,16364.0,9399.0,6965.0,26000.0,8118.0,55776.0,21035.0
Indiana University--Bloomington,68,Public,1820.0,None,Semester,City,(812) 855-4848,51700.0,69.0,NCAA I,66.0,79.0,67.0,83.0,47.1,12.0,16:1,rolling,65.0,80.0,16.5,41.3,38.7,3.4,0.1,0.0,43064.0,32986.0,10078.0,19500.0,8250.0,11334.0,38354.0
Southern Methodist University,68,Private,1911.0,United Methodist,Semester,Urban,(214) 768-2000,56800.0,73.0,NCAA I,66.0,80.0,76.0,82.0,55.2,11.0,11:1,Jan. 15,60.0,53.0,41.32,44.46,14.05,0.17,0.0,0.0,12373.0,6827.0,5546.0,21000.0,12500.0,60236.0,17438.0
Texas A&M University,68,Public,1876.0,None,Semester,City,(979) 845-3211,60100.0,57.0,NCAA I,66.0,82.0,73.0,86.0,26.2,28.0,19:1,Dec. 1,75.0,63.0,21.47,49.0,26.87,2.65,0.01,0.0,70418.0,55568.0,14850.0,18445.0,7500.0,13178.0,40087.0
University of Massachusetts--Amherst,68,Public,1863.0,None,Semester,Suburban,(413) 545-0111,55800.0,76.0,NCAA I,66.0,81.0,81.0,84.0,47.3,19.0,17:1,Jan. 15,85.0,65.0,19.6,58.9,21.0,0.5,0.0,0.0,31642.0,24233.0,7409.0,23250.0,17895.0,16439.0,36964.0
"University of Minnesota, Twin Cities",68,Public,1851.0,None,Semester,Urban,(612) 625-5000,56500.0,71.0,NCAA I,66.0,82.0,78.0,86.0,36.0,20.0,17:1,rolling,55.0,70.0,36.0,51.0,11.0,2.0,0.0,0.0,52017.0,36061.0,15956.0,19500.0,9408.0,15253.0,33843.0
Yeshiva University,68,Private,1886.0,None,Semester,Urban,(212) 960-5400,53600.0,69.0,NCAA III,66.0,81.0,69.0,80.0,63.7,1.0,7:1,Feb. 1,65.0,67.0,29.0,40.0,31.0,0.0,0.0,0.0,4659.0,2017.0,2642.0,19500.0,8125.0,47500.0,13000.0
Baylor University,75,Private,1845.0,Baptist,Semester,City,(254) 710-1011,53400.0,64.0,NCAA I,65.0,78.0,71.0,81.0,51.9,9.0,15:1,Feb. 1,N/A,68.0,17.0,60.0,23.0,0.0,0.0,0.0,19297.0,14399.0,4898.0,24225.0,6500.0,50232.0,14324.0
Clemson University,75,Public,1889.0,None,Semester,Suburban,(864) 656-3311,57400.0,63.0,NCAA I,65.0,84.0,74.0,87.0,37.7,17.0,16:1,May 1,70.0,62.0,21.0,63.0,15.0,1.0,0.0,0.0,26378.0,20840.0,5538.0,21500.0,8750.0,15120.0,37712.0
Loyola Marymount University,75,Private,1911.0,Roman Catholic,Semester,Suburban,(800) 568-4636,54700.0,75.0,NCAA I,65.0,82.0,80.0,83.0,49.5,1.0,10:1,Jan. 15,60.0,50.0,23.1,60.6,16.1,0.2,0.0,0.0,9686.0,6673.0,3013.0,20500.0,9125.0,53051.0,17154.0
Virginia Tech,75,Public,1872.0,None,Semester,N/A,(540) 231-6000,62300.0,65.0,NCAA I,65.0,85.0,80.0,87.0,28.4,24.0,14:1,Jan. 15,60.0,67.0,18.5,53.0,26.6,1.9,0.0,0.0,37024.0,30020.0,7004.0,22500.0,12000.0,14174.0,33253.0
American University,79,Private,1893.0,United Methodist,Semester,Suburban,(202) 885-1000,50500.0,73.0,NCAA I,64.0,79.0,75.0,80.0,58.9,1.0,11:1,Jan. 15,75.0,39.0,23.5,59.0,15.38,2.0,0.13,0.0,14001.0,7953.0,6048.0,23999.0,8750.0,51334.0,15150.0
Brigham Young University--Provo,79,Private,1875.0,Latter-day Saints (Mormon Church),Semester,City,(801) 422-1211,57800.0,21.0,NCAA I,64.0,81.0,68.0,77.0,50.2,13.0,21:1,Dec. 15,35.0,69.0,26.11,52.39,20.63,0.87,0.0,0.0,36450.0,33365.0,3085.0,12000.0,6500.0,6120.0,8048.0
Gonzaga University,79,Private,1887.0,Roman Catholic,Semester,City,(800) 986-9585,56000.0,77.0,NCAA I,64.0,87.0,85.0,88.0,37.0,2.0,11:1,Feb. 1,50.0,73.0,12.0,58.0,30.0,1.0,0.0,0.0,7295.0,4852.0,2443.0,25000.0,11000.0,48470.0,13192.0
North Carolina State University,79,Public,1887.0,None,Semester,City,(919) 515-2011,57600.0,59.0,NCAA I,64.0,82.0,81.0,86.0,37.1,18.0,15:1,Jan. 15,85.0,46.0,25.0,63.0,11.0,1.0,0.0,0.0,36042.0,26150.0,9892.0,20500.0,9750.0,9131.0,29916.0
Binghamton University--SUNY,83,Public,1946.0,None,Semester,Suburban,(607) 777-2000,57000.0,72.0,NCAA I,63.0,82.0,79.0,83.0,45.7,15.0,19:1,rolling,50.0,43.0,40.9,51.8,7.23,0.07,0.0,0.0,18148.0,14333.0,3815.0,19500.0,9250.0,10319.0,27909.0
Colorado School of Mines,33,Public,1874.0,None,Semester,Suburban,(303) 273-3000,72400.0,65.0,NCAA II,63.0,81.0,79.0,85.0,31.4,26.0,17:1,May 1,45.0,55.0,36.0,57.0,6.0,0.0,0.0,0.0,6754.0,5216.0,1538.0,25000.0,8875.0,19100.0,39800.0
Elon University,83,Private,1889.0,None,4-1-4,Suburban,(336) 278-2000,50400.0,79.0,NCAA I,63.0,84.0,77.0,83.0,50.5,0.0,13:1,Jan. 10,60.0,72.0,8.49,56.63,37.02,0.86,0.0,0.0,7117.0,6291.0,826.0,21692.0,8750.0,38725.0,13422.0
Howard University,83,Private,1867.0,None,Semester,Urban,(202) 806-6100,52900.0,52.0,NCAA I,63.0,64.0,59.0,69.0,46.6,7.0,12:1,Feb. 15,45.0,39.0,4.2,42.1,53.3,0.4,0.0,0.0,10859.0,7857.0,3002.0,25000.0,12000.0,28916.0,14678.0
Marquette University,83,Private,1881.0,Roman Catholic,Semester,Urban,(414) 288-7250,56600.0,67.0,NCAA I,63.0,83.0,74.0,85.0,47.9,8.0,13:1,Dec. 1,N/A,82.0,10.3,56.9,32.3,0.4,0.0,0.0,11550.0,8024.0,3526.0,24500.0,5500.0,45766.0,14140.0
Michigan State University,83,Public,1855.0,None,Semester,Suburban,(517) 355-1855,54100.0,58.0,NCAA I,63.0,81.0,70.0,85.0,24.1,26.0,16:1,rolling,65.0,76.0,7.7,41.3,44.6,6.4,0.1,0.0,49695.0,38491.0,11204.0,24250.0,9250.0,14460.0,39766.0
